Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Coconut biscuit (Nariyal ke biscuit),434.98,9.862522415,1.328796726,6.24396524,4.772633225,0.836820084,24.31376155,8.692353671,0.303462228,0.006896869,Coconut biscuit (Nariyal ke biscuit),Veg,Any
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,11.05255417,1.507500735,5.488283165,1.769781351,0.411805079,101.6521228,9.128345916,0.257378174,0.007353662,Sweet and salty biscuit (Meethay aur namkeen biscuit),Veg,Any
Peanut biscuit,401.05,11.64942027,2.106969206,5.089141005,5.301084653,0.618376761,50.43261439,12.61189378,0.334122927,0.007480364,Peanut biscuit,Veg,Any
Pin wheel biscuit,404.6,13.48492338,1.334651508,4.611962432,5.746416214,0.286702916,32.55808206,10.55363322,0.279288186,0.012357884,Pin wheel biscuit,Veg,Any
Saffron biscuit (Kesar biscuit),458.61,13.01759665,1.319203681,4.799284795,4.888685375,0.414295371,1.231983603,5.606070517,0.26820174,0.002180502,Saffron biscuit (Kesar biscuit),Veg,Any
Masala biscuit,393.64,11.47749212,1.539477695,5.271313891,1.732547505,0.543643939,181.5161061,13.64952749,0.335331775,0.038105884,Masala biscuit,Veg,Any
Ice box cookies,374.24,14.98770842,1.523086789,3.858486533,7.131787088,0.342026507,120.0138948,4.94335186,0.277896537,0.026720821,Ice box cookies,Veg,Any
Ginger bread man,365.0,16.50958904,1.810958904,3.016438356,7.978082192,0.438356164,130.9561644,10.3890411,0.580821918,0.024657534,Ginger bread man,Veg,Any
Danish cookies,475.33,12.2020491,1.121326237,5.242673511,4.57156081,0.288220815,42.29903436,3.359771106,0.206172554,0.0,Danish cookies,Veg,Any
Short bread cookies,443.09,14.62908213,1.360897335,4.057866348,5.260782234,0.35432982,32.72472861,3.592949514,0.252770318,0.0,Short bread cookies,Veg,Any
Coffee biscuit,416.57,11.17459251,1.656384281,5.521280937,5.206807979,0.381688552,27.01346712,11.7435245,0.30487073,0.007201671,Coffee biscuit,Veg,Any
Melting moments,437.91,12.75147861,1.303920897,4.973624717,5.708935626,0.429311959,27.19508575,6.939782147,0.27402891,0.0,Melting moments,Veg,Any
Ginger biscuit (Adarak ke biscuit),417.91,13.98387213,1.430930105,4.381326123,6.475078366,0.356536096,19.06630614,6.214256658,0.526429135,0.0,Ginger biscuit (Adarak ke biscuit),Veg,Any
Soyabean muthias,839.33,0.440827803,0.293090918,10.77645265,0.02025425,0.175139695,9.322912323,1.448774618,0.07148559,0.094122693,Soyabean muthias,Veg,Lunch/Dinner
Soyabean tikki,698.17,0.628786685,0.505607517,10.60200238,0.050131057,0.315109501,12.70750677,4.18665941,0.148960855,0.961083977,Soyabean tikki,Veg,Lunch/Dinner
Soyabean namak paras,838.46,0.554588174,0.316055626,10.71368938,0.02623858,0.168165446,8.593135033,1.446699902,0.076330415,0.0,Soyabean namak paras,Veg,Any
Peanut burfi (Moongfali ki burfi),550.99,8.737000672,1.689685838,6.686146754,7.818653696,0.742300223,1.23051235,4.573585728,0.263162671,0.0,Peanut burfi (Moongfali ki burfi),Veg,Any
Spinach peanut namak paras (Palak moongfali namak paras),740.16,0.894401211,0.222924773,10.60716602,0.037829658,0.109435798,9.882998271,1.803664073,0.090520968,1.538856463,Spinach peanut namak paras (Palak moongfali namak paras),Veg,Any
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,1.005415805,0.274084518,10.54698309,0.032942851,0.18316225,9.867042654,1.598387118,0.08828684,0.500731331,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),Veg,Breakfast/Lunch/Dinner
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,1.394282565,0.343246561,10.32746223,0.01879087,0.147821512,17.89141383,0.625109613,0.063888958,0.0,,,
Split bengal gram sweet rice (Channa dal sweet rice),190.21,21.59192471,2.181799064,0.336470217,10.2045108,1.172388413,4.405656906,15.96656327,0.930550444,0.0,,,
Sweet poori (Meethi poori),782.75,1.821782178,0.270839987,10.17310763,0.913446183,0.196742255,0.328329607,4.374321303,0.144362823,0.0,,,
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,13.60297452,2.230887821,4.173846014,7.05540945,1.364831777,1.19026027,5.713249297,0.521447356,0.0,,,
Spinach burfi (Palak burfi),121.17,10.5306594,2.236527193,5.620203021,10.00247586,0.965585541,22.91821408,77.31286622,0.866551127,7.072707766,,,
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,17.09266483,2.594178783,2.163179574,6.745955973,2.225919965,3.287050929,14.53940369,1.189339589,0.0,,,
Sprouted moong daliya,111.56,13.23951237,2.518823951,4.221943349,1.496952313,2.796701327,176.3445679,20.27608462,1.156328433,6.749731086,Sprouted moong daliya,Veg,Breakfast
